Prompt
"{""task"": ""Generate - **Classical Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Fluid Dynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Manufacturing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Machining."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Russian"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Manufacturing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Welding."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Manufacturing Questions"", ""description"": ""Create a set of questions with solutions in the domain of Quality Control."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Russian"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Manufacturing Questions"", ""description"": ""Create a set of questions with solutions in the domain of CAD/CAM.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Robotics and Automation Questions"", ""description"": ""Create a set of questions with solutions in the domain of Robot Design."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Turkish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Robotics and Automation Questions"", ""description"": ""Create a set of questions with solutions in the domain of Control Systems."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Robotics and Automation Questions"", ""description"": ""Create a set of questions with solutions in the domain of Automation Engineering."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Robotics and Automation Questions"", ""description"": ""Create a set of questions with solutions in the domain of Mechatronics.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Design and Analysis Questions"", ""description"": ""Create a set of questions with solutions in the domain of Engineering Design."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Design and Analysis Questions"", ""description"": ""Create a set of questions with solutions in the domain of Finite Element Analysis."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Design and Analysis Questions"", ""description"": ""Create a set of questions with solutions in the domain of Failure Analysis."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Design and Analysis Questions"", ""description"": ""Create a set of questions with solutions in the domain of Computer-Aided Design.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Spanish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Aerospace Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Aerodynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Aerospace Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Spacecraft Design."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Aerospace Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Propulsion."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Aerospace Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Aviation Technology.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Automotive Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Vehicle Dynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Automotive Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Engine Systems."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Automotive Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Automotive Electronics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Automotive Engineering Questions"", ""description"": ""Create a set of questions with solutions in the domain of Alternative Fuels.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Biomechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Orthopedic Biomechanics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Biomechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Gait Analysis."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Biomechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Biomaterials."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Arabic"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Biomechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Prosthetics Design.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Spanish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Circuit Theory Questions"", ""description"": ""Create a set of questions with solutions in the domain of Analog Circuits."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Circuit Theory Questions"", ""description"": ""Create a set of questions with solutions in the domain of Digital Circuits."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Circuit Theory Questions"", ""description"": ""Create a set of questions with solutions in the domain of Integrated Circuits."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Circuit Theory Questions"", ""description"": ""Create a set of questions with solutions in the domain of Signal Processing.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Control Systems Questions"", ""description"": ""Create a set of questions with solutions in the domain of Feedback Systems."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Spanish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
